locus_tag,gene,product,strand,prom_start,prom_end,prom_length,gc_content
Rv1143,mcr,alpha-methylacyl-CoA racemase,+,1269958,1270061,103,0.5825242718446602
Rv1145,,transmembrane transport protein,+,1272122,1272422,300,0.5833333333333334
Rv1147,,hypothetical protein,+,1274767,1274899,132,0.6666666666666666
Rv1148c,,hypothetical protein,-,1277748,1277892,144,0.6041666666666666
Rv1149,,transposase,+,1277748,1277892,144,0.6041666666666666
Rv1155a,,hypothetical protein,+,1281872,1282029,157,0.7452229299363057
Rv1156,,hypothetical protein,+,1282218,1282305,87,0.6551724137931034
Rv1158c,,hypothetical protein,-,1284862,1284991,129,0.5658914728682171
Rv1159,pimE,polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase,+,1284862,1284991,129,0.5658914728682171
Rv1161,narG,nitrate reductase subunit alpha,+,1287027,1287327,300,0.65
Rv1163,narJ,nitrate reductase subunit delta,+,1292741,1292797,56,0.625
Rv1166,lpqW,monoacyl phosphatidylinositol tetramannoside-binding protein LpqW,+,1296054,1296151,97,0.6597938144329897
Rv1167c,,transcriptional regulator,-,1298692,1298763,71,0.6056338028169014
Rv1169c,lipX,lipase LipX,-,1300124,1300303,179,0.547486033519553
Rv1170,mshB,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase,+,1300124,1300303,179,0.547486033519553
Rv1171,,hypothetical protein,+,1301215,1301306,91,0.6483516483516484
Rv1172c,PE12,PE family protein PE12,-,1302681,1302930,249,0.6305220883534136
Rv1173,fbiC,FO synthase,+,1302681,1302930,249,0.6305220883534136
Rv1174c,TB8.4,low molecular weight T-cell antigen,-,1306001,1306201,200,0.565
Rv1176c,,hypothetical protein,-,1308792,1309004,212,0.5707547169811321
Rv1177,fdxC,ferredoxin FdxC,+,1308792,1309004,212,0.5707547169811321
Rv1179c,,hypothetical protein,-,1313299,1313599,300,0.58
Rv1180,pks3,polyketide beta-ketoacyl synthase,+,1313424,1313724,300,0.53
Rv1182,papA3,acyltransferase papA3,+,1319982,1320034,52,0.6346153846153846
Rv1183,mmpL10,transmembrane transport protein MmpL10,+,1321453,1321519,66,0.6363636363636364
Rv1184c,,hypothetical protein,-,1325611,1325775,164,0.5670731707317073
Rv1185c,fadD21,fatty-acid--CoA ligase FadD21,-,1327512,1327688,176,0.5795454545454546
Rv1186c,,hypothetical protein,-,1329305,1329389,84,0.5833333333333334
Rv1187,rocA,pyrroline-5-carboxylate dehydrogenase RocA,+,1329305,1329389,84,0.5833333333333334
Rv1189,sigI,ECF RNA polymerase sigma factor SigI,+,1332010,1332091,81,0.5802469135802469
Rv1191,,hypothetical protein,+,1333858,1333930,72,0.6944444444444444
Rv1192,,hypothetical protein,+,1334845,1334926,81,0.5925925925925926
Rv1194c,,hypothetical protein,-,1338513,1338813,300,0.58
Rv1195,PE13,PE family protein PE13,+,1338702,1339002,300,0.5766666666666667
Rv1197,esxK,ESAT-6 like protein EsxK,+,1340524,1340658,134,0.5373134328358209
Rv1198,esxL,ESAT-6 like protein EsxL,+,1340955,1341005,50,0.52
Rv1199c,,insertion sequence element IS1081 transposase,-,1342605,1342905,300,0.5933333333333334
Rv1200,,integral membrane transport protein,+,1342641,1342941,300,0.61
Rv1201c,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",-,1345169,1345259,90,0.5555555555555556
Rv1202,dapE,succinyl-diaminopimelate desuccinylase DapE,+,1345169,1345259,90,0.5555555555555556
Rv1204c,,hypothetical protein,-,1348624,1348718,94,0.5638297872340425
Rv1205,,hypothetical protein,+,1348624,1348718,94,0.5638297872340425
Rv1207,folP2,dihydropteroate synthase,+,1351125,1351190,65,0.6307692307692307
Rv1211,,hypothetical protein,+,1354136,1354242,106,0.5566037735849056
Rv1212c,glgA,capsular glucan synthase,-,1355661,1355835,174,0.7068965517241379
Rv1213,glgC,glucose-1-phosphate adenylyltransferase,+,1355661,1355835,174,0.7068965517241379
Rv1214c,PE14,PE family protein PE14,-,1357625,1357758,133,0.6842105263157895
Rv1219c,,transcriptional regulator,-,1363361,1363502,141,0.5815602836879432
Rv1220c,,methyltransferase,-,1364150,1364412,262,0.6335877862595419
Rv1221,sigE,ECF RNA polymerase sigma factor SigE,+,1364150,1364412,262,0.6335877862595419
Rv1222,rseA,anti-sigma E factor RseA,+,1365186,1365343,157,0.643312101910828
Rv1223,htrA,serine protease HtrA,+,1365808,1365874,66,0.6666666666666666
Rv1225c,,hypothetical protein,-,1368721,1368831,110,0.5818181818181818
Rv1227c,,transmembrane protein,-,1370825,1370919,94,0.6170212765957447
Rv1228,lpqX,lipoprotein LpqX,+,1370825,1370919,94,0.6170212765957447
Rv1228a,,hypothetical protein,+,1371477,1371528,51,0.49019607843137253
Rv1230c,,membrane protein,-,1374197,1374321,124,0.5
Rv1232c,,hypothetical protein,-,1376168,1376229,61,0.5901639344262295
Rv1233c,,hypothetical protein,-,1376826,1376975,149,0.610738255033557
Rv1234,,transmembrane protein,+,1376826,1376975,149,0.610738255033557
Rv1239c,corA,magnesium and cobalt transport transmembrane protein CorA,-,1383042,1383212,170,0.6058823529411764
Rv1240,mdh,malate dehydrogenase,+,1383042,1383212,170,0.6058823529411764
Rv1241,vapB33,antitoxin VapB33,+,1384202,1384277,75,0.6
Rv1242,vapC33,ribonuclease VapC33,+,1384234,1384534,300,0.6266666666666667
Rv1243c,PE_PGRS23,PE-PGRS family protein PE_PGRS23,-,1386677,1386856,179,0.6480446927374302
Rv1244,lpqZ,lipoprotein LpqZ,+,1386677,1386856,179,0.6480446927374302
Rv1245c,,short-chain type dehydrogenase/reductase,-,1388628,1388684,56,0.6607142857142857
Rv1246c,relE,toxin RelE,-,1388978,1389278,300,0.6133333333333333
Rv1247c,relB,antitoxin RelB,-,1389244,1389356,112,0.5625
Rv1248c,,multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase,-,1393052,1393193,141,0.624113475177305
Rv1249c,,membrane protein,-,1393982,1394178,196,0.6071428571428571
Rv1250,,MFS-type drug transporter,+,1393982,1394178,196,0.6071428571428571
Rv1251c,,hypothetical protein,-,1399240,1399295,55,0.6363636363636364
Rv1252c,lprE,lipoprotein LprE,-,1399904,1399969,65,0.7076923076923077
Rv1253,deaD,ATP-dependent RNA helicase DeaD,+,1399904,1399969,65,0.7076923076923077
Rv1256c,cyp130,cytochrome P450 Cyp130,-,1404603,1404716,113,0.5663716814159292
Rv1262c,,hypothetical protein,-,1410372,1410430,58,0.6551724137931034
Rv1263,amiB2,amidase AmiB,+,1410372,1410430,58,0.6551724137931034
Rv1264,,adenylyl cyclase,+,1411819,1411893,74,0.5945945945945946
Rv1265,,hypothetical protein,+,1413087,1413259,172,0.6162790697674418
Rv1266c,pknH,serine/threonine-protein kinase PknH,-,1415840,1416140,300,0.6233333333333333
Rv1267c,embR,transcriptional regulator EmbR,-,1417347,1417647,300,0.6
Rv1268c,,hypothetical protein,-,1418356,1418578,222,0.6036036036036037
Rv1269c,,hypothetical protein,-,1418953,1419013,60,0.5666666666666667
Rv1270c,lprA,lipoprotein LprA,-,1419748,1419960,212,0.6179245283018868
Rv1271c,,hypothetical protein,-,1420302,1420409,107,0.6261682242990654
Rv1273c,,drug ABC transporter ATP-binding protein,-,1424050,1424196,146,0.6232876712328768
Rv1274,lprB,lipoprotein LprB,+,1424050,1424196,146,0.6232876712328768
Rv1276c,,hypothetical protein,-,1425914,1426163,249,0.6506024096385542
Rv1277,,hypothetical protein,+,1425914,1426163,249,0.6506024096385542
Rv1283c,oppB,oligopeptide ABC transporter permease OppB,-,1437117,1437323,206,0.6407766990291263
Rv1284,canA,beta-carbonic anhydrase,+,1437117,1437323,206,0.6407766990291263
Rv1285,cysD,sulfate adenylyltransferase subunit 2,+,1437815,1437908,93,0.6881720430107527
Rv1287,,HTH-type transcriptional regulator,+,1440751,1440804,53,0.660377358490566
Rv1288,,hypothetical protein,+,1441290,1441347,57,0.6666666666666666
Rv1291c,,hypothetical protein,-,1445834,1446134,300,0.6033333333333334
Rv1292,argS,arginine--tRNA ligase,+,1446078,1446378,300,0.6333333333333333
Rv1296,thrB,homoserine kinase,+,1451779,1451996,217,0.7511520737327189
Rv1297,rho,transcription termination factor Rho,+,1452947,1453203,256,0.578125
Rv1298,rpmE,50S ribosomal protein L31,+,1455012,1455162,150,0.64
Rv1299,prfA,peptide chain release factor PrfA,+,1455405,1455494,89,0.6629213483146067
Rv1302,rfe,decaprenyl-phosphate N-acetylglucosaminephosphotransferase,+,1458211,1458294,83,0.5903614457831325
Rv1303,,hypothetical protein,+,1459509,1459765,256,0.640625
Rv1313c,,insertion sequence element IS1557 transposase,-,1469505,1469670,165,0.5636363636363636
Rv1314c,,"cob(I)yrinic acid a,c-diamide adenosyltransferase",-,1470252,1470320,68,0.5441176470588235
Rv1315,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,+,1470252,1470320,68,0.5441176470588235
Rv1317c,alkA,bifunctional regulatory protein/DNA repair enzyme AlkA,-,1479118,1479198,80,0.575
Rv1318c,,adenylate cyclase,-,1480824,1480893,69,0.6231884057971014
Rv1320c,,adenylate cyclase,-,1484217,1484278,61,0.5737704918032787
Rv1321,,endonuclease NucS,+,1484217,1484278,61,0.5737704918032787
Rv1322A,,hypothetical protein,-,1485771,1485861,90,0.5444444444444444
Rv1323,fadA4,acetyl-CoA acetyltransferase,+,1485771,1485861,90,0.5444444444444444
Rv1324,,thioredoxin,+,1487031,1487160,129,0.6589147286821705
Rv1325c,PE_PGRS24,PE-PGRS family protein PE_PGRS24,-,1489965,1490116,151,0.5496688741721855
Rv1327c,glgE,"alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase",-,1494425,1494563,138,0.6086956521739131
Rv1328,glgP,glycogen phosphorylase,+,1494425,1494563,138,0.6086956521739131
Rv1330c,pncB1,nicotinic acid phosphoribosyltransferase PncB1,-,1500559,1500660,101,0.7326732673267327
Rv1331,,ATP-dependent Clp protease adapter protein ClpS,+,1500559,1500660,101,0.7326732673267327
Rv1332,,transcriptional regulator,+,1500625,1500925,300,0.6266666666666667
Rv1347c,mbtK,lysine N-acetyltransferase MbtK,-,1512605,1512905,300,0.63
Rv1348,irtA,iron ABC transporter ATP-binding protein/permease IrtA,+,1512746,1513046,300,0.6433333333333333
Rv1350,fabG2,3-oxoacyl-ACP reductase FabG,+,1517362,1517490,128,0.5859375
Rv1352,,hypothetical protein,+,1518560,1518762,202,0.6138613861386139
Rv1356c,,hypothetical protein,-,1524820,1525120,300,0.59
Rv1357c,,hypothetical protein,-,1526216,1526516,300,0.61
Rv1358,,transcriptional regulator,+,1526311,1526611,300,0.5933333333333334
Rv1359,,transcriptional regulator,+,1530091,1530172,81,0.6172839506172839
Rv1360,,oxidoreductase,+,1531047,1531347,300,0.5666666666666667
Rv1361c,PPE19,PPE family protein PPE19,-,1533633,1533933,300,0.54
Rv1363c,,membrane protein,-,1535392,1535682,290,0.5586206896551724
Rv1364c,,sigma factor regulatory protein,-,1537644,1537782,138,0.5942028985507246
Rv1365c,rsfA,anti-sigma-F factor antagonist RsfA,-,1538169,1538389,220,0.6863636363636364
Rv1366,,hypothetical protein,+,1538169,1538389,220,0.6863636363636364
Rv1367c,,hypothetical protein,-,1540645,1540945,300,0.6333333333333333
Rv1368,lprF,lipoprotein LprF,+,1540719,1541019,300,0.61
Rv1371,,membrane protein,+,1543058,1543358,300,0.6633333333333333
Rv1374c,,hypothetical protein,-,1547530,1547830,300,0.5333333333333333
Rv1375,,hypothetical protein,+,1547531,1547831,300,0.5333333333333333
Rv1386,PE15,PE family protein PE15,+,1561269,1561463,194,0.5773195876288659
Rv1388,mihF,integration host factor MihF,+,1563393,1563693,300,0.6266666666666667
Rv1389,gmk,guanylate kinase,+,1564266,1564400,134,0.746268656716418
Rv1390,rpoZ,DNA-directed RNA polymerase subunit omega,+,1565027,1565092,65,0.5230769230769231
Rv1392,metK,S-adenosylmethionine synthetase,+,1566697,1566824,127,0.5433070866141733
Rv1394c,cyp132,cytochrome P450 Cyp132,-,1570969,1571046,77,0.4935064935064935
Rv1395,,HTH-type transcriptional regulator,+,1570969,1571046,77,0.4935064935064935
Rv1396c,PE_PGRS25,PE-PGRS family protein PE_PGRS25,-,1573857,1574111,254,0.5354330708661418
Rv1397c,vapC10,ribonuclease VapC10,-,1574513,1574813,300,0.64
Rv1398c,vapB10,antitoxin VapB10,-,1574767,1574849,82,0.6951219512195121
Rv1400c,lipI,lipase,-,1576796,1576929,133,0.7142857142857143
Rv1401,,membrane protein,+,1576796,1576929,133,0.7142857142857143
Rv1402,priA,primosomal protein N',+,1577532,1577612,80,0.7
Rv1403c,,methyltransferase,-,1580422,1580590,168,0.5476190476190477
Rv1404,,transcriptional regulator,+,1580422,1580590,168,0.5476190476190477
Rv1405c,,methyltransferase,-,1581969,1582165,196,0.5867346938775511
Rv1406,fmt,methionyl-tRNA formyltransferase,+,1581969,1582165,196,0.5867346938775511
Rv1411c,lprG,lipoprotein LprG,-,1588482,1588566,84,0.6666666666666666
Rv1412,ribC,riboflavin synthase,+,1588482,1588566,84,0.6666666666666666
Rv1413,,hypothetical protein,+,1589172,1589385,213,0.6572769953051644
Rv1415,ribA2,"bifunctional riboflavin biosynthesis GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase",+,1590292,1590396,104,0.5769230769230769
Rv1419,,hypothetical protein,+,1593325,1593504,179,0.6424581005586593
Rv1420,uvrC,excinuclease ABC subunit UvrC,+,1593978,1594041,63,0.6984126984126984
Rv1428c,,hypothetical protein,-,1604759,1604877,118,0.6186440677966102
Rv1429,,hypothetical protein,+,1604759,1604877,118,0.6186440677966102
Rv1430,PE16,PE family protein PE16,+,1606146,1606385,239,0.6317991631799164
Rv1431,,hypothetical protein,+,1607972,1608082,110,0.6636363636363637
Rv1433,,hypothetical protein,+,1611270,1611433,163,0.558282208588957
Rv1435c,,hypothetical protein,-,1612950,1613250,300,0.6033333333333334
Rv1436,gap,glyceraldehyde 3-phosphate dehydrogenase,+,1613006,1613306,300,0.6
Rv1439c,,hypothetical protein,-,1617386,1617686,300,0.6233333333333333
Rv1440,secG,protein-export membrane protein SecG,+,1617536,1617836,300,0.6733333333333333
Rv1441c,PE_PGRS26,PE-PGRS family protein PE_PGRS26,-,1619684,1619790,106,0.5094339622641509
Rv1442,bisC,biotin sulfoxide reductase BisC,+,1619684,1619790,106,0.5094339622641509
Rv1443c,,hypothetical protein,-,1622692,1622992,300,0.61
Rv1446c,opcA,OXPP cycle protein OpcA,-,1625365,1625417,52,0.6923076923076923
Rv1449c,tkt,transketolase,-,1630199,1630499,300,0.6166666666666667
Rv1450c,PE_PGRS27,PE-PGRS family protein PE_PGRS27,-,1634627,1634927,300,0.5966666666666667
Rv1451,,protoheme IX farnesyltransferase,+,1634728,1635028,300,0.59
Rv1452c,PE_PGRS28,PE-PGRS family protein PE_PGRS28,-,1638229,1638380,151,0.609271523178808
Rv1453,,transcriptional activator protein,+,1638229,1638380,151,0.609271523178808
Rv1456c,,antibiotic ABC transporter permease,-,1642425,1642536,111,0.6306306306306306
Rv1458c,,antibiotic ABC transporter ATP-binding protein,-,1644260,1644362,102,0.696078431372549
Rv1467c,fadE15,acyl-CoA dehydrogenase,-,1655502,1655608,106,0.660377358490566
Rv1468c,PE_PGRS29,PE-PGRS family protein PE_PGRS29,-,1656721,1656962,241,0.5767634854771784
Rv1469,ctpD,cobalt/nickel-exporting P-type ATPase,+,1656721,1656962,241,0.5767634854771784
Rv1473A,,transcriptional regulator,+,1662284,1662380,96,0.6666666666666666
Rv1475c,acn,iron-regulated aconitate hydratase,-,1666046,1666203,157,0.643312101910828
Rv1476,,membrane protein,+,1666046,1666203,157,0.643312101910828
Rv1477,ripA,peptidoglycan endopeptidase RipA,+,1666764,1666989,225,0.5688888888888889
Rv1479,moxR1,transcriptional regulator MoxR1,+,1669144,1669282,138,0.6376811594202898
Rv1482c,,hypothetical protein,-,1673299,1673439,140,0.6142857142857143
Rv1483,fabG1,3-oxoacyl-ACP reductase FabG,+,1673299,1673439,140,0.6142857142857143
Rv1486c,,hypothetical protein,-,1676883,1676940,57,0.5789473684210527
Rv1487,,hypothetical protein,+,1676883,1676940,57,0.5789473684210527
Rv1490,,membrane protein,+,1679172,1679321,149,0.6241610738255033
Rv1491c,,TVP38/TMEM64 family membrane protein,-,1681966,1682156,190,0.5473684210526316
Rv1492,mutA,methylmalonyl-CoA mutase small subunit,+,1681966,1682156,190,0.5473684210526316
Rv1495,mazF4,mRNA interferase MazF4,+,1686269,1686569,300,0.6433333333333333
Rv1497,lipL,esterase LipL,+,1687888,1687940,52,0.5
Rv1498c,,methyltransferase,-,1689920,1690133,213,0.6056338028169014
Rv1498A,,hypothetical protein,-,1690346,1690406,60,0.5833333333333334
Rv1499,,hypothetical protein,+,1690346,1690406,60,0.5833333333333334
Rv1502,,hypothetical protein,+,1692711,1692923,212,0.49528301886792453
Rv1506c,,hypothetical protein,-,1696443,1696726,283,0.6113074204946997
Rv1510,,hypothetical protein,+,1701093,1701294,201,0.6169154228855721
Rv1511,gmdA,GDP-D-mannose dehydratase GmdA,+,1702773,1703073,300,0.6233333333333333
Rv1516c,,sugar transferase,-,1708539,1708839,300,0.6566666666666666
Rv1517,,hypothetical protein,+,1708570,1708870,300,0.6566666666666666
Rv1519,,hypothetical protein,+,1710603,1710732,129,0.5736434108527132
Rv1521,fadD25,fatty-acid--CoA ligase FadD25,+,1712068,1712301,233,0.5793991416309013
Rv1527c,pks5,polyketide synthase,-,1728409,1728709,300,0.5266666666666666
Rv1528c,papA4,polyketide synthase associated protein PapA,-,1729450,1729501,51,0.6078431372549019
Rv1529,fadD24,fatty-acid--CoA ligase FadD24,+,1729450,1729501,51,0.6078431372549019
Rv1530,adh,alcohol dehydrogenase,+,1731256,1731372,116,0.5431034482758621
Rv1532c,,hypothetical protein,-,1733550,1733609,59,0.4067796610169492
Rv1533,,monooxygenase,+,1733550,1733609,59,0.4067796610169492
Rv1535,,hypothetical protein,+,1735675,1735975,300,0.5833333333333334
Rv1536,ileS,isoleucine--tRNA ligase,+,1736218,1736518,300,0.69
Rv1537,dinX,DNA polymerase IV,+,1739644,1739855,211,0.6445497630331753
Rv1538c,ansA,L-aparaginase,-,1742192,1742243,51,0.7058823529411765
Rv1539,lspA,lipoprotein signal peptidase,+,1742192,1742243,51,0.7058823529411765
Rv1541c,lprI,lipoprotein LprI,-,1744371,1744425,54,0.7037037037037037
Rv1542c,glbN,hemoglobin GlbN,-,1744836,1745063,227,0.6079295154185022
Rv1543,,oxidoreductase,+,1744836,1745063,227,0.6079295154185022
Rv1547,dnaE1,DNA polymerase III subunit alpha,+,1747626,1747693,67,0.6119402985074627
Rv1548c,PPE21,PPE family protein PPE21,-,1753333,1753633,300,0.6433333333333333
Rv1550,fadD11,fatty-acid--CoA ligase FadD11,+,1753415,1753715,300,0.65
Rv1552,frdA,fumarate reductase flavoprotein subunit,+,1757380,1757680,300,0.61
Rv1556,,HTH-type transcriptional regulator,+,1760929,1760996,67,0.6716417910447762
Rv1557,mmpL6,transmembrane transport protein MmpL6,+,1761605,1761743,138,0.6594202898550725
Rv1565c,,acyltransferase,-,1773829,1773927,98,0.6122448979591837
Rv1566c,,hypothetical protein,-,1774620,1774859,239,0.5523012552301255
Rv1567c,,membrane protein,-,1775144,1775391,247,0.6194331983805668
Rv1568,bioA,adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,+,1775144,1775391,247,0.6194331983805668
Rv1573,,phage protein,+,1779048,1779313,265,0.6113207547169811
Rv1574,,phage protein,+,1779724,1779929,205,0.6878048780487804
Rv1575,,phage protein,+,1779898,1780198,300,0.62
Rv1577c,,phage prohead protease,-,1782584,1782757,173,0.6069364161849711
Rv1578c,,phage protein,-,1783228,1783308,80,0.6375
Rv1579c,,phage protein,-,1783623,1783905,282,0.624113475177305
Rv1581c,,phage protein,-,1784301,1784496,195,0.6512820512820513
Rv1583c,,phage protein,-,1786310,1786583,273,0.684981684981685
Rv1584c,,phage protein,-,1786528,1786583,55,0.6363636363636364
Rv1588c,,hypothetical protein,-,1789836,1790136,300,0.62
Rv1589,bioB,biotin synthetase,+,1789983,1790283,300,0.6566666666666666
Rv1591,,transmembrane protein,+,1791333,1791569,236,0.690677966101695
Rv1592c,,hypothetical protein,-,1793740,1793996,256,0.6328125
Rv1598c,,hypothetical protein,-,1799483,1799582,99,0.6161616161616161
Rv1599,hisD,histidinol dehydrogenase,+,1799483,1799582,99,0.6161616161616161
Rv1607,chaA,ionic transporter integral membrane protein ChaA,+,1806000,1806180,180,0.6777777777777778
Rv1608c,bcpB,peroxiredoxin,-,1807762,1807902,140,0.6928571428571428
Rv1609,trpE,anthranilate synthase component I,+,1807762,1807902,140,0.6928571428571428
Rv1611,trpC,indole-3-glycerol phosphate synthase,+,1810150,1810239,89,0.651685393258427
Rv1612,trpB,tryptophan synthase subunit beta,+,1811058,1811126,68,0.6029411764705882
Rv1615,,membrane protein,+,1814952,1815252,300,0.6433333333333333
Rv1617,pykA,pyruvate kinase,+,1816081,1816188,107,0.7383177570093458
Rv1619,,hypothetical protein,+,1818517,1818574,57,0.5964912280701754
Rv1621c,cydD,cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD,-,1823273,1823359,86,0.7441860465116279
Rv1623c,cydA,cytochrome D ubiquinol oxidase subunit I CydA,-,1825887,1825997,110,0.6090909090909091
Rv1625c,cya,adenylate cyclase,-,1827945,1828179,234,0.6025641025641025
Rv1626,,two-component system transcriptional regulator,+,1827945,1828179,234,0.6025641025641025
Rv1628c,,hypothetical protein,-,1830561,1830664,103,0.6116504854368932
Rv1629,polA,DNA polymerase I,+,1830561,1830664,103,0.6116504854368932
Rv1630,rpsA,30S ribosomal protein S1,+,1833379,1833541,162,0.6049382716049383
Rv1632c,,hypothetical protein,-,1836830,1837074,244,0.6311475409836066
Rv1633,uvrB,excinuclease ABC subunit UvrB,+,1836830,1837074,244,0.6311475409836066
Rv1635c,,mannosyltransferase,-,1842242,1842450,208,0.5480769230769231
Rv1636,TB15.3,iron-regulated universal stress protein,+,1842242,1842450,208,0.5480769230769231
Rv1639c,,hypothetical protein,-,1848458,1848516,58,0.6551724137931034
Rv1640c,lysX,bifunctional lysine--tRNA ligase/phosphatidylglycerol lysyltransferase,-,1852035,1852272,237,0.6244725738396625
Rv1641,infC,initiation factor IF-3,+,1852035,1852272,237,0.6244725738396625
Rv1643,rplT,50S ribosomal protein L20,+,1853122,1853183,61,0.6557377049180327
Rv1645c,,hypothetical protein,-,1855454,1855754,300,0.5566666666666666
Rv1646,PE17,PE family protein PE17,+,1855463,1855763,300,0.5566666666666666
Rv1647,,adenylate cyclase,+,1856696,1856773,77,0.6103896103896104
Rv1649,pheS,phenylalanine--tRNA ligase subunit alpha,+,1858537,1858732,195,0.6461538461538462
Rv1651c,PE_PGRS30,PE-PGRS family protein PE_PGRS30,-,1865382,1865575,193,0.5906735751295337
Rv1652,argC,N-acetyl-gamma-glutamyl-phoshate reductase,+,1865382,1865575,193,0.5906735751295337
Rv1659,argH,argininosuccinate lyase,+,1872559,1872638,79,0.6582278481012658
Rv1660,pks10,chalcone synthase,+,1874051,1874159,108,0.6296296296296297
Rv1661,pks7,polyketide synthase,+,1875221,1875303,82,0.6219512195121951
Rv1665,pks11,chalcone synthase,+,1891079,1891225,146,0.5
Rv1666c,cyp139,cytochrome P450 Cyp139,-,1893562,1893862,300,0.6733333333333333
Rv1669,,hypothetical protein,+,1895424,1895724,300,0.6866666666666666
Rv1672c,,integral membrane transport protein,-,1898207,1898299,92,0.5652173913043478
Rv1674c,,transcriptional regulator,-,1899916,1900216,300,0.6533333333333333
Rv1675c,cmr,HTH-type transcriptional regulator Cmr,-,1900975,1901046,71,0.6619718309859155
Rv1676,,hypothetical protein,+,1900975,1901046,71,0.6619718309859155
Rv1678,,integral membrane protein,+,1902296,1902396,100,0.67
Rv1682,,hypothetical protein,+,1906242,1906402,160,0.53125
Rv1683,,bifunctional long-chain acyl-CoA synthase/lipase,+,1907320,1907593,273,0.6373626373626373
Rv1686c,,ABC transporter permease,-,1912081,1912152,71,0.6619718309859155
Rv1687c,,ABC transporter ATP-binding protein,-,1912920,1912978,58,0.5689655172413793
Rv1688,mpg,3-methyladenine DNA glycosylase,+,1912920,1912978,58,0.5689655172413793
Rv1690,lprJ,lipoprotein LprJ,+,1915226,1915526,300,0.57
Rv1697,,hypothetical protein,+,1921446,1921541,95,0.5684210526315789
Rv1699,pyrG,CTP synthase,+,1923689,1923828,139,0.6546762589928058
Rv1702c,,hypothetical protein,-,1928575,1928875,300,0.6
Rv1706c,PPE23,PPE family protein PPE23,-,1933878,1934178,300,0.56
Rv1706A,,hypothetical protein,-,1934649,1934881,232,0.6293103448275862
Rv1707,,transmembrane protein,+,1934649,1934881,232,0.6293103448275862
Rv1714,,oxidoreductase,+,1941679,1941852,173,0.5722543352601156
Rv1718,,hypothetical protein,+,1944756,1944808,52,0.6538461538461539
Rv1720c,vapC12,ribonuclease VapC12,-,1947419,1947719,300,0.6333333333333333
Rv1721c,vapB12,antitoxin VapB12,-,1947643,1947860,217,0.6866359447004609
Rv1722,,carboxylase,+,1947643,1947860,217,0.6866359447004609
Rv1725c,,hypothetical protein,-,1951751,1951851,100,0.64
Rv1726,,oxidoreductase,+,1951751,1951851,100,0.64
Rv1729c,,S-adenosylmethionine-dependent methyltransferase,-,1955569,1955691,122,0.680327868852459
Rv1730c,,penicillin-binding protein,-,1957245,1957545,300,0.64
Rv1731,gabD2,succinate-semialdehyde dehydrogenase,+,1957376,1957676,300,0.5966666666666667
Rv1732c,,hypothetical protein,-,1959791,1959854,63,0.6984126984126984
Rv1733c,,transmembrane protein,-,1960487,1960773,286,0.6083916083916084
Rv1734c,,hypothetical protein,-,1961016,1961290,274,0.6386861313868614
Rv1735c,,membrane protein,-,1961788,1961886,98,0.7040816326530612
Rv1735a,,hypothetical protein,-,1962129,1962227,98,0.6224489795918368
Rv1737c,narK2,nitrate/nitrite transporter,-,1965370,1965656,286,0.6503496503496503
Rv1738,,hypothetical protein,+,1965370,1965656,286,0.6503496503496503
Rv1739c,,sulfate ABC transporter permease,-,1967637,1967704,67,0.5522388059701493
Rv1740,vapB34,antitoxin VapB34,+,1967637,1967704,67,0.5522388059701493
Rv1741,vapC34,ribonuclease VapC34,+,1967637,1967916,279,0.6415770609318996
Rv1743,pknE,serine/threonine-protein kinase PknE,+,1968910,1969003,93,0.6451612903225806
Rv1745c,idi,isopentenyl-diphosphate delta-isomerase,-,1971991,1972137,146,0.6506849315068494
Rv1746,pknF,serine/threonine-protein kinase PknF,+,1971991,1972137,146,0.6506849315068494
Rv1747,,ABC transporter ATP-binding protein/permease,+,1973568,1973629,61,0.7213114754098361
Rv1748,,hypothetical protein,+,1976299,1976599,300,0.7266666666666667
Rv1749c,,integral membrane protein,-,1977885,1977968,83,0.6867469879518072
Rv1750c,fadD1,fatty-acid--CoA ligase FadD1,-,1979567,1979620,53,0.6415094339622641
Rv1751,,oxidoreductase,+,1979567,1979620,53,0.6415094339622641
Rv1752,,hypothetical protein,+,1981003,1981129,126,0.6984126984126984
Rv1753c,PPE24,PPE family protein PPE24,-,1984775,1984978,203,0.5911330049261084
Rv1754c,,hypothetical protein,-,1986670,1986970,300,0.6133333333333333
Rv1758,cut1,cutinase,+,1988741,1989041,300,0.6566666666666666
Rv1759c,wag22,PE-PGRS family protein Wag22,-,1992577,1992877,300,0.6333333333333333
Rv1760,,diacylglycerol acyltransferase,+,1992852,1993152,300,0.64
